Smiles,Tg/℃
O=C(N1C2=CC=C(OC3=CC=C(N4C(C5=CC=C(OC6=CC=C(O[*])C=C6)C=C5C4=O)=O)C=C3)C=C2)C7=CC([*])=CC=C7C1=O,237
O=C(N1C2=CC=C(OC3=CC=C(N4C(C5=CC=C(OC6=CC=C(O[*])C=C6)C=C5C4=O)=O)C=C3)C=C2)C7=CC([*])=CC=C7C1=O,232
O=C(N1C2=CC=C(OC3=CC=C(N4C(C5=CC=C(OC6=CC=C(C7=CC=C(O[*])C=C7)C=C6)C=C5C4=O)=O)C=C3)C=C2)C8=CC([*])=CC=C8C1=O,229
O=C(N1C2=CC=C(OC3=CC=C(N4C(C5=CC=C(OC6=CC=C(C(C7=CC=CC(O[*])=C7)=O)C=C6)C=C5C4=O)=O)C=C3)C=C2)C8=CC([*])=CC=C8C1=O,210
O=C(N1C2=CC=C(OC3=CC=C(N4C(C5=CC=C(OC6=CC=C(C(C)(C)C7=CC=CC(O[*])=C7)C=C6)C=C5C4=O)=O)C=C3)C=C2)C8=CC([*])=CC=C8C1=O,223
O=C(N1C2=CC=C(OC3=CC=C(N4C(C5=CC=C(O[*])C=C5C4=O)=O)C=C3)C=C2)C6=CC([*])=CC=C6C1=O,270
O=C(N1C2=CC=C(OC3=CC=C(N4C(C5=CC=C(O[*])C=C5C4=O)=O)C=C3)C=C2)C6=CC([*])=CC=C6C1=O,269
O=C(N1C2=CC=C(OC3=CC=C(N4C(C5=CC=C(O[*])C=C5C4=O)=O)C=C3)C=C2)C6=C([*])C=CC=C6C1=O,278
O=C(N1C2=CC=C(OC3=CC=C(N4C(C5=CC=C(C([*])=O)C=C5C4=O)=O)C=C3)C=C2)C6=CC([*])=CC=C6C1=O,290
O=C(N1C2=CC=C(OC3=CC=C(N4C(C5=CC=C(C([*])=O)C=C5C4=O)=O)C=C3)C=C2)C6=CC([*])=CC=C6C1=O,277
O=C(N1C2=CC=C(OC3=CC=C(N4C(C5=CC=C([*])C=C5C4=O)=O)C=C3)C=C2)C6=CC([*])=CC=C6C1=O,262
O=C(N1C2=CC=C(OC3=CC=C(N4C(C5=CC=C([*])C=C5C4=O)=O)C=C3)C=C2)C6=C([*])C=CC=C6C1=O,319
